product_id,category,brand,product_description
1,Dairy,BrandB,Description for Rice
2,Meats,BrandB,Description for Banana
3,Meats,BrandE,Description for Banana
4,  Grains,BrandB,Description for Apple
5,Fruits,BrandD,Description for Banana
6,Dairy,BrandA,Description for Apple
7,Grains,BrandA,Description for Apple
8, Grains,BrandA,Description for Apple
9,Dairy   ,BrandB,Description for Butter
10,Meats,BrandE,Description for Chicken
11,Fruits,BrandA,Description for Pasta
12,Fruits  ,BrandC,Description for Banana
13,Grains,BrandB,Description for Cheese
14,Fruits,BrandB,Description for Bread
15,Meats,BrandD,Description for Banana
16,Meats,BrandE,Description for Milk
17,Dairy,BrandE,Description for Eggs
18,Grains  ,BrandC,Description for Eggs
19,Fruits,BrandB,Description for Banana
20,Meats,BrandB,Description for Butter
21,  Grains,BrandB,Description for Milk
22,Dairy,BrandB,Description for Eggs
23,Fruits,BrandC,Description for Milk
24,Dairy   ,BrandD,Description for Milk
25,Dairy,BrandD,Description for Milk
26,Meats,BrandE,Description for Banana
27,Grains,BrandB,Description for Eggs
28,Meats,BrandE,Description for Apple
29,Meats,BrandD,Description for Pasta
30,Fruits,BrandA,Description for Butter
31,Meats,BrandB,Description for Eggs
32,Grains,BrandD,Description for Cheese
33,Meats,BrandE,Description for Apple
34,Grains,BrandE,Description for Chicken
35,Grains,BrandA,Description for Milk
36,Fruits,BrandB,Description for Butter
37,Dairy,BrandC,Description for Cheese
38,Dairy,BrandD,Description for Apple
39,Meats,BrandC,Description for Eggs
40,Meats,BrandB,Description for Rice
41,Grains,BrandC,Description for Eggs
42,Fruits,BrandD,Description for Bread
43,Meats,BrandE,Description for Butter
44,Meats,BrandA,Description for Apple
45,Meats,BrandB,Description for Bread
46,Meats,BrandA,Description for Milk
47,Dairy,BrandA,Description for Butter
48,Grains,BrandC,Description for Milk
49,Fruits,BrandD,Description for Rice
50,Meats  ,BrandB,Description for Apple
51,Dairy,BrandE,Description for Milk
52,  Dairy,BrandD,Description for Bread
53,Meats,BrandD,Description for Apple
54,Dairy,BrandE,Description for Butter
55,Meats,BrandD,Description for Apple
56,Fruits,BrandB,Description for Cheese
57,Fruits,BrandA,Description for Chicken
58,Grains,BrandD,Description for Eggs
59,Dairy,BrandD,Description for Rice
60,Dairy,BrandE,Description for Apple
61,Grains,BrandB,Description for Banana
62,Meats,BrandA,Description for Eggs
63,Meats,BrandD,Description for Apple
64,Grains,BrandB,Description for Butter
65,Meats,BrandD,Description for Butter
66,Grains,BrandC,Description for Bread
67,Dairy,BrandA,Description for Milk
68,Fruits,BrandC,Description for Eggs
69,Fruits,BrandC,Description for Bread
70,Fruits,BrandE,Description for Cheese
71,Dairy,BrandC,Description for Eggs
72,Fruits,BrandE,Description for Butter
73,Meats,BrandD,Description for Rice
74,Meats,BrandD,Description for Banana
75,Meats,BrandA,Description for Chicken
76,Dairy,BrandB,Description for Eggs
77,Fruits,BrandB,Description for Butter
78,Grains,BrandE,Description for Rice
79,Dairy,BrandC,Description for Milk
80,Meats,BrandB,Description for Chicken
81,Fruits,BrandD,Description for Eggs
82,Fruits,BrandD,Description for Eggs
83,Meats,BrandB,Description for Pasta
84,Grains,BrandA,Description for Pasta
85,Grains,BrandD,Description for Eggs
86,Meats,BrandA,Description for Cheese
87,Fruits,BrandB,Description for Rice
88,Grains,BrandB,Description for Rice
89,Fruits,BrandB,Description for Cheese
90,Meats,BrandD,Description for Butter
91,Meats,BrandA,Description for Chicken
92,Grains,BrandB,Description for Pasta
93,Grains,BrandD,Description for Banana
94,Meats,BrandE,Description for Chicken
95,Grains,BrandB,Description for Milk
96,Meats,BrandA,Description for Cheese
97,Meats,BrandD,Description for Pasta
98,Grains,BrandB,Description for Pasta
99,Grains,BrandB,Description for Bread
100,Grains,BrandA,Description for Butter
101,Fruits,BrandB,Description for Butter
102,Fruits,BrandC,Description for Milk
103,Grains,BrandA,Description for Eggs
104,Dairy,BrandA,Description for Chicken
105,Grains,BrandC,Description for Banana
106,Grains,BrandC,Description for Banana
107,Dairy,BrandC,Description for Chicken
108,Fruits,BrandB,Description for Pasta
109,Grains,BrandE,Description for Banana
110,Fruits,BrandB,Description for Milk
111,Dairy,BrandC,Description for Banana
112,Fruits,BrandB,Description for Pasta
113,Meats,BrandE,Description for Apple
114,Fruits,BrandB,Description for Cheese
115,Fruits,BrandE,Description for Eggs
116,Dairy,BrandD,Description for Rice
117,Meats,BrandD,Description for Chicken
118,Fruits,BrandD,Description for Apple
119,Grains,BrandE,Description for Pasta
120,Grains,BrandD,Description for Apple
121,Fruits,BrandC,Description for Milk
122,Meats,BrandB,Description for Butter
123,Dairy,BrandB,Description for Butter
124,Fruits,BrandA,Description for Butter
125,Dairy,BrandB,Description for Butter
126,Fruits,BrandE,Description for Chicken
127,Grains,BrandE,Description for Eggs
128,Meats,BrandD,Description for Apple
129,Dairy,BrandE,Description for Milk
130,Meats,BrandD,Description for Butter
131,Meats,BrandC,Description for Rice
132,Dairy,BrandB,Description for Pasta
133,Fruits,BrandD,Description for Chicken
134,Fruits,BrandE,Description for Cheese
135,Dairy,BrandE,Description for Milk
136,Fruits,BrandA,Description for Apple
137,Grains,BrandE,Description for Chicken
138,Grains,BrandE,Description for Bread
139,Meats,BrandA,Description for Pasta
140,Fruits,BrandD,Description for Rice
141,Meats,BrandB,Description for Eggs
142,Meats,BrandE,Description for Bread
143,Meats,BrandB,Description for Cheese
144,Meats,BrandD,Description for Pasta
145,Meats,BrandB,Description for Apple
146,Fruits,BrandB,Description for Bread
147,Dairy,BrandE,Description for Milk
148,Fruits,BrandC,Description for Pasta
149,Fruits,BrandB,Description for Apple
150,Grains,BrandB,Description for Cheese
151,Fruits,BrandB,Description for Rice
152,Grains,BrandE,Description for Apple
153,Grains,BrandC,Description for Apple
154,Dairy,BrandE,Description for Banana
155,Dairy,BrandC,Description for Chicken
156,Dairy,BrandE,Description for Cheese
157,Fruits,BrandC,Description for Eggs
158,Fruits,BrandD,Description for Pasta
159,Meats,BrandC,Description for Pasta
160,Meats,BrandA,Description for Milk
161,Dairy,BrandC,Description for Milk
162,Grains,BrandC,Description for Bread
163,Fruits,BrandA,Description for Pasta
164,Grains,BrandD,Description for Milk
165,Fruits,BrandD,Description for Milk
166,Fruits,BrandA,Description for Rice
167,Fruits,BrandC,Description for Chicken
168,Fruits,BrandA,Description for Milk
169,Fruits,BrandA,Description for Bread
170,Fruits,BrandC,Description for Rice
171,Grains,BrandB,Description for Pasta
172,Fruits,BrandD,Description for Milk
173,Meats,BrandA,Description for Chicken
174,Dairy,BrandC,Description for Pasta
175,Fruits,BrandD,Description for Butter
176,Grains,BrandA,Description for Banana
177,Meats,BrandE,Description for Cheese
178,Dairy,BrandB,Description for Banana
179,Grains,BrandA,Description for Apple
180,Grains,BrandB,Description for Bread
181,Grains,BrandB,Description for Bread
182,Meats,BrandA,Description for Eggs
183,Dairy,BrandC,Description for Butter
184,Dairy,BrandE,Description for Pasta
185,Fruits,BrandB,Description for Pasta
186,Fruits,BrandD,Description for Apple
187,Grains,BrandB,Description for Cheese
188,Meats,BrandE,Description for Eggs
189,Dairy,BrandB,Description for Rice
190,Meats,BrandA,Description for Pasta
191,Fruits,BrandD,Description for Rice
192,Meats,BrandE,Description for Pasta
193,Grains,BrandC,Description for Rice
194,Grains,BrandA,Description for Rice
195,Dairy,BrandD,Description for Butter
196,Grains,BrandE,Description for Apple
197,Fruits,BrandB,Description for Pasta
198,Fruits,BrandC,Description for Pasta
199,Meats,BrandD,Description for Chicken
200,Grains,BrandD,Description for Banana
201,Grains,BrandC,Description for Banana
202,Meats,BrandA,Description for Rice
203,Meats,BrandB,Description for Pasta
204,Dairy,BrandE,Description for Milk
205,Dairy,BrandA,Description for Chicken
206,Fruits,BrandC,Description for Eggs
207,Fruits,BrandC,Description for Cheese
208,Meats,BrandA,Description for Banana
209,Meats,BrandC,Description for Chicken
210,Grains,BrandE,Description for Pasta
211,Fruits,BrandB,Description for Cheese
212,Fruits,BrandB,Description for Milk
213,Fruits,BrandC,Description for Chicken
214,Grains,BrandC,Description for Milk
215,Meats,BrandE,Description for Milk
216,Meats,BrandB,Description for Banana
217,Fruits,BrandB,Description for Cheese
218,Dairy,BrandB,Description for Chicken
219,Fruits,BrandA,Description for Banana
220,Grains,BrandD,Description for Eggs
221,Grains,BrandD,Description for Chicken
222,Grains,BrandD,Description for Milk
223,Meats,BrandA,Description for Milk
224,Grains,BrandC,Description for Pasta
225,Meats,BrandB,Description for Eggs
226,Fruits,BrandA,Description for Pasta
227,Meats,BrandB,Description for Apple
228,Dairy,BrandA,Description for Chicken
229,Meats,BrandD,Description for Banana
230,Grains,BrandB,Description for Cheese
231,Grains,BrandB,Description for Apple
232,Fruits,BrandB,Description for Pasta
233,Grains,BrandA,Description for Bread
234,Dairy,BrandC,Description for Chicken
235,Meats,BrandB,Description for Butter
236,Meats,BrandA,Description for Banana
237,Fruits,BrandE,Description for Bread
238,Grains,BrandC,Description for Eggs
239,Dairy,BrandE,Description for Eggs
240,Dairy,BrandE,Description for Bread
241,Dairy,BrandD,Description for Eggs
242,Meats,BrandB,Description for Eggs
243,Dairy,BrandA,Description for Banana
244,Fruits,BrandA,Description for Milk
245,Dairy,BrandA,Description for Chicken
246,Grains,BrandE,Description for Apple
247,Meats,BrandD,Description for Bread
248,Fruits,BrandC,Description for Milk
249,Dairy,BrandA,Description for Pasta
250,Fruits,BrandE,Description for Banana
251,Meats,BrandB,Description for Butter
252,Fruits,BrandD,Description for Milk
253,Grains,BrandE,Description for Banana
254,Grains,BrandE,Description for Rice
255,Grains,BrandE,Description for Rice
256,Fruits,BrandC,Description for Apple
257,Fruits,BrandA,Description for Rice
258,Dairy,BrandA,Description for Pasta
259,Fruits,BrandD,Description for Banana
260,Fruits,BrandA,Description for Chicken
261,Fruits,BrandD,Description for Banana
262,Grains,BrandD,Description for Chicken
263,Dairy,BrandA,Description for Banana
264,Grains,BrandA,Description for Bread
265,Meats,BrandC,Description for Milk
266,Grains,BrandB,Description for Pasta
267,Fruits,BrandD,Description for Butter
268,Dairy,BrandC,Description for Milk
269,Grains,BrandA,Description for Chicken
270,Fruits,BrandC,Description for Pasta
271,Grains,BrandD,Description for Pasta
272,Grains,BrandD,Description for Eggs
273,Grains,BrandE,Description for Eggs
274,Meats,BrandD,Description for Cheese
275,Meats,BrandD,Description for Chicken
276,Dairy,BrandA,Description for Pasta
277,Grains,BrandB,Description for Butter
278,Fruits,BrandD,Description for Rice
279,Meats,BrandB,Description for Cheese
280,Meats,BrandD,Description for Eggs
281,Grains,BrandB,Description for Bread
282,Meats,BrandD,Description for Milk
283,Dairy,BrandE,Description for Eggs
284,Dairy,BrandC,Description for Apple
285,Grains,BrandE,Description for Cheese
286,Dairy,BrandE,Description for Pasta
287,Grains,BrandA,Description for Bread
288,Grains,BrandD,Description for Chicken
289,Meats,BrandE,Description for Chicken
290,Dairy,BrandD,Description for Cheese
291,Dairy,BrandD,Description for Butter
292,Dairy,BrandE,Description for Milk
293,Fruits,BrandB,Description for Bread
294,Fruits,BrandA,Description for Banana
295,Fruits,BrandC,Description for Banana
296,Fruits,BrandB,Description for Rice
297,Grains,BrandB,Description for Chicken
298,Fruits,BrandC,Description for Cheese
299,Dairy,BrandB,Description for Cheese
300,Dairy,BrandC,Description for Rice
301,Fruits,BrandA,Description for Rice
302,Meats,BrandC,Description for Apple
303,Dairy,BrandA,Description for Banana
304,Meats,BrandB,Description for Apple
305,Meats,BrandD,Description for Pasta
306,Dairy,BrandA,Description for Bread
307,Dairy,BrandB,Description for Bread
308,Dairy,BrandA,Description for Milk
309,Dairy,BrandB,Description for Apple
310,Dairy,BrandB,Description for Butter
311,Fruits,BrandD,Description for Cheese
312,Meats,BrandD,Description for Butter
313,Grains,BrandE,Description for Apple
314,Dairy,BrandD,Description for Apple
315,Meats,BrandC,Description for Bread
316,Meats,BrandD,Description for Rice
317,Fruits,BrandD,Description for Cheese
318,Fruits,BrandE,Description for Bread
319,Meats,BrandD,Description for Butter
320,Meats,BrandE,Description for Apple
321,Grains,BrandE,Description for Pasta
322,Dairy,BrandC,Description for Banana
323,Dairy,BrandD,Description for Cheese
324,Grains,BrandB,Description for Eggs
325,Fruits,BrandC,Description for Apple
326,Meats,BrandA,Description for Cheese
327,Meats,BrandE,Description for Bread
328,Meats,BrandB,Description for Eggs
329,Dairy,BrandD,Description for Pasta
330,Dairy,BrandB,Description for Butter
331,Meats,BrandB,Description for Milk
332,Fruits,BrandE,Description for Apple
333,Fruits,BrandE,Description for Eggs
334,Fruits,BrandA,Description for Rice
335,Dairy,BrandB,Description for Bread
336,Fruits,BrandE,Description for Chicken
337,Grains,BrandA,Description for Eggs
338,Grains,BrandB,Description for Bread
339,Grains,BrandB,Description for Milk
340,Meats,BrandE,Description for Banana
341,Fruits,BrandD,Description for Milk
342,Grains,BrandC,Description for Pasta
343,Meats,BrandE,Description for Cheese
344,Fruits,BrandA,Description for Eggs
345,Meats,BrandE,Description for Pasta
346,Fruits,BrandD,Description for Eggs
347,Grains,BrandC,Description for Cheese
348,Grains,BrandC,Description for Bread
349,Dairy,BrandD,Description for Butter
350,Dairy,BrandA,Description for Bread
351,Meats,BrandD,Description for Banana
352,Meats,BrandB,Description for Banana
353,Fruits,BrandC,Description for Chicken
354,Grains,BrandC,Description for Pasta
355,Grains,BrandB,Description for Eggs
356,Grains,BrandD,Description for Bread
357,Grains,BrandB,Description for Milk
358,Meats,BrandC,Description for Cheese
359,Grains,BrandA,Description for Milk
360,Grains,BrandB,Description for Milk
361,Meats,BrandB,Description for Cheese
362,Grains,BrandB,Description for Pasta
363,Dairy,BrandD,Description for Bread
364,Fruits,BrandA,Description for Apple
365,Fruits,BrandB,Description for Cheese
366,Fruits,BrandA,Description for Apple
367,Grains,BrandD,Description for Butter
368,Grains,BrandE,Description for Rice
369,Meats,BrandB,Description for Pasta
370,Meats,BrandA,Description for Rice
371,Grains,BrandD,Description for Bread
372,Dairy,BrandA,Description for Rice
373,Grains,BrandA,Description for Eggs
374,Grains,BrandA,Description for Butter
375,Dairy,BrandC,Description for Milk
376,Fruits,BrandA,Description for Banana
377,Meats,BrandB,Description for Bread
378,Dairy,BrandE,Description for Banana
379,Grains,BrandB,Description for Butter
380,Meats,BrandD,Description for Bread
381,Meats,BrandD,Description for Rice
382,Dairy,BrandA,Description for Bread
383,Meats,BrandB,Description for Rice
384,Fruits,BrandD,Description for Milk
385,Fruits,BrandE,Description for Milk
386,Grains,BrandC,Description for Bread
387,Meats,BrandD,Description for Apple
388,Fruits,BrandA,Description for Milk
389,Fruits,BrandA,Description for Banana
390,Meats,BrandB,Description for Pasta
391,Meats,BrandE,Description for Pasta
392,Fruits,BrandA,Description for Butter
393,Grains,BrandB,Description for Banana
394,Dairy,BrandE,Description for Chicken
395,Fruits,BrandC,Description for Bread
396,Fruits,BrandB,Description for Eggs
397,Meats,BrandB,Description for Cheese
398,Meats,BrandC,Description for Apple
399,Fruits,BrandE,Description for Banana
400,Meats,BrandD,Description for Pasta
401,Fruits,BrandC,Description for Eggs
402,Meats,BrandD,Description for Rice
403,Meats,BrandD,Description for Banana
404,Fruits,BrandB,Description for Cheese
405,Fruits,BrandC,Description for Milk
406,Fruits,BrandE,Description for Rice
407,Dairy,BrandE,Description for Eggs
408,Dairy,BrandC,Description for Butter
409,Dairy,BrandD,Description for Cheese
410,Meats,BrandE,Description for Milk
411,Grains,BrandB,Description for Chicken
412,Grains,BrandD,Description for Butter
413,Fruits,BrandE,Description for Milk
414,Grains,BrandA,Description for Butter
415,Grains,BrandD,Description for Eggs
416,Grains,BrandC,Description for Cheese
417,Dairy,BrandB,Description for Bread
418,Grains,BrandE,Description for Eggs
419,Meats,BrandB,Description for Apple
420,Grains,BrandC,Description for Milk
